#{"t_start": 1776592310.176137, "env_id": "None"}
r,l,t
-2237.941704,500,1148.828533
-107.077955,138,1149.879533
-30.781883,235,1151.579535
-353.588403,140,1152.606533
-340.091455,107,1153.368533
-251.980124,96,1154.068534
-560.819835,437,1157.449534
-2554.717482,500,1161.355534
-324.857823,102,1162.079534
-947.071262,397,1164.908535
135.853167,174,1166.162536
-1222.398241,302,1168.352533
-846.994635,132,1169.331534
-321.031921,111,1170.145534
-194.263096,113,1170.963533
-408.848389,146,1172.062533
-139.70943,203,1173.535534
-1619.060241,335,1175.875533
-3101.071313,500,1179.670534
-283.153932,122,1180.635534
-172.891711,164,1181.910533
400.070505,304,1184.281533
-449.133081,171,1185.535278
-1069.837733,198,1186.964278
-243.46646,95,1187.653278
-70.354501,202,1189.114281
-755.368749,194,1190.568305
-2598.685685,500,1194.348305
-495.556139,196,1195.800303
-711.241841,314,1197.995303
232.317922,223,1201.494306
-1720.574484,303,1203.828139
-328.088206,119,1204.754139
-1074.643862,283,1206.902138
385.234343,208,1208.387142
-2949.122659,500,1211.95814
-2185.276417,500,1215.536139
154.064457,174,1216.886139
454.226545,148,1218.013139
-61.910101,365,1220.674139
434.764872,197,1222.110141
-62.991026,153,1223.250139
-385.010962,112,1224.13314
341.196436,223,1225.881139
-1213.909431,407,1229.11114
-1370.355808,260,1231.04597
-276.220547,139,1232.057971
-934.881572,194,1233.445968
-1014.401546,220,1235.041969
-274.133224,176,1236.345974
-353.5409,102,1237.116974
-849.615126,422,1240.262047
-94.207966,272,1242.226443
-303.230957,169,1243.42844
170.297139,146,1244.44644
-1538.488021,500,1248.129826
-820.915475,227,1249.892826
-1469.38277,342,1252.526825
-653.689052,89,1253.191825
-721.420953,273,1255.154847
-705.103104,137,1256.148848
-386.553395,224,1257.786848
-1709.525172,252,1259.666851
-598.060926,143,1260.764847
-2631.765823,462,1264.247848
-664.681436,144,1265.306848
-873.113152,239,1267.071848
-414.60086,71,1267.601849
-758.370218,140,1268.637847
-733.287272,162,1269.834852
-237.404819,109,1270.702849
-1467.368932,369,1273.561847
-1381.723058,211,1276.112847
-1169.561707,395,1278.897847
-1706.898652,302,1281.072851
-547.418184,160,1282.216856
-2658.094976,500,1285.826851
-128.503106,165,1286.989847
-615.736855,147,1288.027847
-40.402075,258,1289.823848
-658.154765,500,1293.512849
-2300.553842,500,1297.445848
-632.874118,189,1298.896849
15.601288,255,1300.727847
-99.492688,126,1301.656848
-485.040033,103,1302.412849
-2398.243175,332,1304.891848
-751.218679,219,1306.538847
-2546.063746,500,1310.345848
-329.569802,111,1311.160847
-2268.519336,500,1314.696655
-1664.915135,500,1318.572658
92.599476,186,1320.040655
-316.807395,127,1320.980655
-1263.173281,349,1323.529655
-639.503223,185,1324.839655
-716.714487,210,1326.338655
-991.538405,242,1328.139656
-532.98809,138,1329.142655
-56.830958,283,1331.319655
-1724.413502,259,1333.268655
-1530.605439,315,1335.587655
-1443.104718,350,1338.152656
-1831.984367,313,1340.572655
-1532.901576,337,1343.219658
301.120824,307,1345.528656
280.932106,225,1347.183655
-92.424066,230,1348.850656
-969.627361,291,1352.012658
68.689429,183,1353.336658
-1413.182911,205,1354.807658
-326.703212,68,1355.297655
-89.348538,158,1356.396656
-319.411271,337,1358.784658
-240.2024,143,1359.770656
-94.660563,142,1360.789658
-1652.717048,358,1363.503659
-575.326009,500,1367.298656
-352.967243,80,1367.870655
-328.13978,92,1368.536656
-466.806343,96,1369.231655
-565.256795,104,1369.981656
-76.679053,124,1370.878656
-655.768122,361,1373.573658
-3008.012392,500,1377.400656
-408.30117,117,1378.288655
-316.148335,88,1378.937656
-213.138023,85,1379.555655
-351.096937,80,1380.137655
-462.292569,143,1381.193655
-1057.796284,147,1382.280655
-729.882096,108,1383.072685
-506.299696,98,1383.784682
-415.816266,103,1384.604682
-2477.420961,500,1388.534683
-1482.769218,269,1390.576683
-2990.145039,500,1394.163682
585.727568,309,1396.406684
-2788.549312,500,1400.120683
-1534.491146,296,1402.228682
-302.828012,250,1403.996685
-953.612388,288,1406.040683
-426.41274,203,1407.608682
24.908948,133,1408.643682
-326.052076,195,1410.185683
-331.037741,143,1411.291682
-230.884635,273,1413.403682
-1298.8779,319,1415.714683
-757.606072,308,1417.982683
-1197.071664,257,1419.937683
333.59304,180,1421.294684
-544.495388,126,1422.229686
-1153.98887,273,1424.281686
-2563.731921,500,1429.645683
-2922.493008,500,1433.484683
-457.691125,174,1434.800682
-33.004724,100,1435.537686
-298.874347,146,1436.595685
-947.016159,212,1438.106686
-286.715675,121,1438.984683
-325.386769,280,1440.998683
-9.98052,194,1442.391683
-967.601476,165,1443.566683
-2872.190221,500,1447.268683
124.388175,196,1448.686684
-257.814129,157,1449.852682
-487.349984,85,1450.466683
-360.361117,329,1452.949561
-1625.647774,500,1456.89756
-114.811319,200,1458.435558
-276.932634,326,1460.820559
-1142.856283,357,1463.408558
-726.409309,121,1464.328561
-344.093035,106,1465.125557
-720.680875,240,1466.885561
-265.623181,103,1467.623558
-369.598136,122,1468.527558
105.776898,188,1469.888564
-944.854364,333,1472.240559
-2692.909948,439,1475.430562
-601.375189,172,1476.788561
-110.594995,111,1477.682559
-1077.443335,284,1479.894558
-189.792522,134,1480.925559
-1703.843112,415,1483.924558
171.054893,455,1487.275561
-431.738757,135,1488.275558
-1322.323866,338,1490.845558
-2081.584984,457,1494.235558
-699.677711,358,1496.884558
-161.838004,314,1499.274558
-914.138737,211,1502.916558
-2492.206463,500,1506.528558
-774.346827,191,1507.901558
-544.278885,103,1508.611563
-1271.631725,458,1511.936559
